,comment
308,"Огромное спасибо за пожелания, Екатерина Михайловна. Удачи Вам в Вашей нелегкой деятельности!"
309,"Новогоднее обращение, которое мы заслужили"
310,Спасибо!!! Это чертовски трогательно! 
311,Обращение здорового человека
312,"Спасибо вам. Очень классно сформулирована мысль, а ещё так классно поддержали. Решила продолжить делать то, что делаю и начать делать то, что хочется."
313,Приятно было видеть и слышать. Благодарю
314,"Уважаемая Екатерина Михайловна, здоровья, счастья, успехов и благополучия Вам и Вашим близким! Спасибо за Вашу просветительскую деятельность! Свободу Навльному и всем политзаключенным!"
315,"спасибо вам большое, Екатерина Михайловна, что заботитесь о регионах и выкладываете видео пораньше! всем процветания и просвещения"
316,Хорошая репетиция ))) будете очень хорошо смотреться в роли Первого Лица .... )) 
317,"О, как круто, что сейчас можно выбрать чьё обращение ты хочешь услышать ️ спасибо"
318,"Спасибо , прекрасное поздравление"
319,Екатерина спасибо вам . С Новым Годом 
320,"Спасибо, это прекрасное обращение. Слушала и получала удовольствие))."
321,Как приятно видеть именно ВАС на фоне этой картинки)) С новым годом!
322,"Да здравствует всё то, благодаря чему, мы, не смотря ни на что! "
323,"Действительно, раз был международный посыл, то, говоря про Украину, оказывается кто-то, общими усилиями в государстве сделано многое для людей, что люди не брошены на произвол! Спасибо за поздравление! И за этих людей!"
324,С Новым годом! Отличное обращение.
325,Очень приятно слушать такое поздравление
326,"Екатерина вы замечательная! Любви, здоровья и добра в новом году!"
327,"Спасибо Вам, Екатерина Михайловна!"
328,Замечательные слова ️ с Новым годом!
329,Огромное спасибо за такие нужные слова!
330,Хочу смотреть это новогоднее обращение по первому каналу. Екатерина Шульман - мой президент!
331,Родная наша!!! Вдохновительница!!! С Новым Годом! Спасибо за все!
332,"Я дожил до этого дня! 01.01 на фоне Кремля нас поздравляет Екатерина Шульман, президент наших сердец!"
333,"Господи, насколько ж светлая голова у человека! Ясный ум, чистая мораль, системное образование, легкий язык! Дай вам Бог здоровья, Екатерина Михайловна! С Новым годом вашу семью, пусть все будут здоровы!"
334,С новым годом! Отличного отдыха и подзарядки!
335,С Новым 2022 годом! Всем упорства и развития!
336,"Присоединяюсь ко всем добрым пожеланиям(устала лайки ставить)! Исполнения наших желаний, хорошие люди!"
337,Спасибо за напоминания и поздравления. С Новым годом!
338,Смотрела только это обращение! Большое спасибо!
339,"как всегда шикарно! За такими как Вы, надежда на будущее нашей страны!"
340,С НОвым Годом! Дай Бог Вам здоровья и успехов в Вашем правом деле!
341,С новым годом! Благодарю за песню и усладу для ушей и мозга. Только вас и послушал.
342,Очень здорово сказано! Каждое слово и фраза верны. Спасибо Вам! С Новым Годом!
343,Вы лучшая! Так душевно. Привет из Украины. Спасибо. С Новым Годом!!
344,Очень своевременно!) Спасибо большущее! С Новым годом! 
345,"Дорогая Екатерина Михайловна, желаем всей Вашей семье здоровья и процветания, спасибо что продолжаете делиться с нами своими светлыми мыслями! Каналу больше подписчиков, уверен, что уже скоро, вы перешагнете рубеж в миллион подписчиков. С Новым годом!!! "
346,Отличное поздравление!
347,какая умница! Как мне нужны эти слова были прямо сейчас! Спасибо
348,Мда... наше упорство в 2021 не вознаграждено )
349,"С новым годом,Екатерина!"
350,"Да, Катерина, смелость и настойчивость не для слабаков! Хватит ЖДАТЬ перемен. Пора ДЕЙСТВОВАТЬ.                         Ура, товарищи! "
351,"Так, вот что я включу перед курантами)) Спасибо, Екатерина Михайловна! С новым годом вас!"
352,Спасибо большое)) очень обнадёживает! Вам и  Вашей семье благополучия!))
353,"даже новогоднее поздравление очень познавательное, спасибо! с новым годом!"
354,Какое интересное обращение ️
355,С Новым годом! Спасибо за чудесное поздравление!!!
356,"Золотые слова, лучше всех мотивационных курсов вместе взятых. Спасибо и с новым годом! Будем делать!)"
357,Спасибо Вам за ваш бесценный труд. С новым годом! Да не иссякнет ваша чаша  трудолюбия.
358,"Екатерина Михайловна! И Вас с новым годом! Спасибо за ваши видео,  позитивные и с юмором! "
359,"Спасибо, Екатерина!!! Будем жить!!!"
360,Обращение здорового человека...
361,Спасибо! Вдохновляющее поздравление!
362,Спасибо Вам! Здоровья и успехов Вам! С Новым Годом!
363,"Без 15-ти двенадцать зашла на ваш канал посмотреть обращение. Его ещё не было (я из Новосибирска). Смотрю уже в 2022 году. Что-то слезы выступили, то ли от красного вина, то ли от моей впечатлительности. Здоровья всем нам и вознаграждения наших усилий в этом 2022 году!"
364,"Ого, я почувствовала надежду после таких слов. Спасибо. И вас с новым годом!"
365,Самое лучшее поздравление 
366,"Вспоминаю это обращение Екатерины Михайловны иногда. Мне оно, помнится, показалось мрачноватым. Ан нет, вполне пророческое было. И как она точно сказала про perserverance. Только вот не знала, сколько этого самого percerverance нам понадобится."
367,"Больше спасибо,вам за поздравление.К сожалению ваш спич способны понять лишь мыслящие люди. С новым годом!"
368,"Екатерина Михайловна, с Новым годом!!!! Спасибо, что ""заразили"" меня Набоковым! Здоровья Вам и удачи!!!!"
369,Очень приятно слушать вас . С наступающим . 
370,и Вас Екатерина Михайловна) Успехов вам!
371,"Это очень удивительно, но тема Perseverence со мной уже последние полгода, для меня это очень важный термин, поскольку без упорства конечно нельзя достичь ничего. Я пошла учиться в 49 лет на курс BYU Pathway connect Worldwide и слово ""Упорство"" для меня теперь как знамя. Спасибо вам за такое чудесное совпадение и за вашу работу."
372,"Огонь Шульман, просто огонь,"
373,хочу в след годах видеть её обращения по телевизору
374,"Екатерина!! Желаю вам и нам, чтоб вы стали президентом России!!"
375,Спасибо большое! Исполнения всех желаний!
376,"Молодец, Катюша, и поздравила и вдохновила на наступивший год! Спасибо! Будем соответствовать!"
377,Вот это поздравление! спасибо
378,"Вот человек, обращения которого я хочу видеть на Новый год)"
379,Вот бы по всем телеканалам такое показывали
380,"Как приятно было на новый год послушать настоящие нормально поздравление. А не чушь всякую. Это поздравление лучше, чем все поздравления В.В.П вместе взятые. Отсылку к Толкину сразу понял ;)"
381,Самое ожидаемое поздравление. С новым Годом!!!
382,"Екатерина Михайловна, это дико остроумная идея)  Желаю вам и нам когда-нибудь увидеть вас не в этой стилизации, а в реальном видео-поздравлении!"
383,Лучшее поздравление с Новым годом!
384,Так выглядит новогоднее поздравление здорового человека!
385,"С новым годом! Продолжай делать, то что тебе нравится! Не отступай!"
386,"Спасибо! Екатерина Михайловна, в следующем году выкладывайте поздравление в 12 по Приморью!)"
387,"Екатерина, я рад что вас знаю! С Новым Годом!"
388,""" Когда человек не такой, как вообще, потому один такой, а другой такой, и ум у него не для танцевания, а для устройства себя, для развязки свого существования, для сведения обхождения..."" За двумя зайцами (1961) – цитаты из фильма"
389,"Да, 2022-му удалось стать самоценным. Екатерина Михайловна как в воду глядела"
390,Да пребудет с Вами  Сила
391,Какая чудная картинка! Суперпрофессионал на фоне кремлёвской стены! 
392,Вижу вас будущим президентом. Берегите себя
393,"Спасибо, только дух стоиков и помогает в эти времена не впасть в ступор, а двигаться дальше."
394,"Спасибо за поздравления, уважаемая Екатерина! Привет и поздравления из Казахстана"
395,ЕШ даже новогоднее поздравление превращает в лекцию.
396,Вы и красивы и умны а главное несете нам правду Спасибо !!!
397,"Прекрасное отражение, Екатерина! Смотрели с Оливье ) в 23:55. "
398,"Екатерина Михайловна, снимаю шляпу! Спасибо и с Новым Годом!"
399,"Спасибо за поздравление, любимый политолог здорового гражданского общества Екатерина Михайловна️️!"
400,С Новым годом всех. Прорвёмся 
401,
402,
403,
404,
405,
406,
407,
408,"Это обращение куда приятнее слушать, чем одну одну ту же плёнку на протяжении 20 лет. Спасибо Вам огромное!"
409,"Очень надеюсь на новогоднее поздравление в конце 2022... Свободу России, слава Украине, жыве Беларусь! С наступающими!"
410,"Екатерина Михайловна, пожалуйста, поздравьте нас с наступающим 2023 годом  это так важно для нас. Не понятно что можно утешительного сказать подводя итого, но сами мы точно не сможем подобрать слова..."
411,Очень ждем обращения в этом году!
412,"Пусть как можно больше людей доживёт до того, чтобы поздравлять друг друга с окончанием 2022.  Пожалуйста."
413,"Забавно послушать в октябре 2022. Если за 21й мы достойны медалей, то за 22й , видимо, памятники ставить можно."
414,Президент Е.М. Шульман поздравляет своих сограждан с Новым Годом
415,"ЕМ, рассказывайте нам потом что у вас нет президентских амбиций. Новогодние обращения вон уже тренируете :-).  Спасибо за ваши слова, вам и семье хорошего года!"
416,"Очень надеюсь, что будет поздравление и в этом, 2022 году!"
417,"Одно из лучших новогодних обращений! Очень скоро, я надеюсь, наступит настоящий новый год, или новый век (новая веха) в истории нашей страны, России "
418,Когда уже начнем предвыборную программу чтоб хотя бы в 24 году ЕМ официально поздравляла нас по  ????
419,"Одно из лучших обращений, приуроченному к 2022 году. Спасибо, что дарите широкой аудитории разный спектр академических знаний"
420,"У Екатерины, даже поздравление, превращается в мини лекцию :) С НГ граждане."
421,"Только сейчас прослушала поздравление от Екатерины Михайловны, вот в этот миг наступил 2022 год, пойду подниму бокал шампанского за всех настойчивых людей России и планеты!!  
И веры в доброе и прекрасное!! Всем  "
422,"Сегодня 1 апреля 2022, и как странно и трагично смотреть на жизнь до 24.02.2022! И как права была Екатерина Михайловна: 2022 год останется в истории как самоценный, который не нужно будет пояснять."
423,Новогоднее обращение для здорового человека от здорового человека
424,"Дорогая и горячо любимая Екатерина Михайловна, с новым годом! Всех благ Вашей прекрасной семье! Спасибо за свет и знания, которые Вы дарите! Будьте счастливы!"
425,Хочу когда-нибудь в будущем увидеть эту женщину на главных каналах страны перед боем курантов в новогоднюю ночь 
426,"Президент, которого мы не заслуживаем, но который очень нам нужен. С наступающим ,Екатерина Михайловна. Здоровья вам, энергии побольше. С праздником!!!"
427,"Вот уж точно самоценная дата. Кажется, медаль за дожитие всё ещё будет актуальна"
428,"Я очень хотел бы, что когда-нибудь , Россию возглавит  такой человек, как Екатерина."
429,"Дорогая Екатерина Михайловна, а так же все её подписчики и поклонники!! Желаю Вам счастья, здоровья и любви в Новом году!!"
430,"Стоическая мораль выживших.... Екатерина Михайловна, спасибо Вам за смысловые нагрузки"
431,"Речь, после которой настроение улучшается даже 1 января! Браво, Екатерина Михайловна!"
432,"Отвечу на это традиционным: ""Екатерину Михайловну в президенты!"". Спасибо Вам!
Отдельное спасибо директору канала и съёмочной команде, благодаря которой стали выходить выпуски с ответами на вопросы."
433,"Большое спасибо, Екатерина  Михайловна, за эти вдохновляющиие и обнадеживаюшие слова! Так победим!"
434,"Президент умного человека
С Новым годом! 
Спасибо Вам, Екатерина Михайловна, за Вашу просветительскую деятельность!"
435,"Ум, честь и совесть! 
Спасибо 2021ому, что познакомил меня с каналом Екатерины Шульман. Многие ее лекции меня успокоили и забрали страхи из настоящего и будущего. 
Спасибо!"
436,"Екатерина Михайловна, спасибо вам что вы есть! Будьте с нами еще, здоровья вам и удачи!"
437,"Президент здорового человека! Спасибо вам за поздравления! С новым годом всех, друзья! "
438,Ждём следующее обращение
439,Лично я хотела бы именно вас видеть на федеральных каналах!спасибо за поздравление!!!
440,"Уважаемая Екатерина Михайловна, низкий Вам поклон за все труды Ваши и самые тёплые и добрые пожелания в Новом году! Пока в нашей стране есть такие люди как Вы - я понимаю что ещё не все потеряно "
441,"Новогоднее обращение здорового человека. Приятно слушать, всех с праздниками!"
442,"Какая Вы удивительная, Екатерина Михайловна! Как особенно приятно видеть Ваше лицо и слушать Вас именно на этом фоне.  Присоединяюсь к поздравлениям!"
443,блин у меня после обращения Екатерины Михайловны появилось новогоднее настроение! всех подписчиков Екатерины Михайловны с Наступающим и Наступившим Новым годом! Спасибо Екатерина Михайловна!
444,"Спасибо Екатерина Михайловна - в самое сердце слова, в самую суть! И вас С Наступившим!"
445,"Вот это - поздравление! Не то, что.... С новым годом, уважаемая Екатерина Михайловна! Здоровья и творческих успехов!"
446,"Каждый, кто читает этот комментарий, знайте и помните, вы сильны телом и духом, все у вас будет хорошо! Верьте в себя! С новым годом!"
447,"Екатерина Михайловна, Вы наше сокровище! Будьте здоровы!"
448,"Вот это поздравление ,ничего лишнего,все по делу,да еще какая мотивация.Это лучшее поздравление за этот год!Подписываюсь на канал!"
449,"Спасибо!  У вас я учусь, как жить в абсурде во всей своей жизни, и вы даёте мне силы"
450,"Выложено 21 час назад, и уде 26 тыс просмотров! Вот это заслуженная популярность ! Фан-клуб Екатерины Шульман ширится !  "
451,"Обращение президента здорового человека) Спасибо за вашу деятельность, с Новым, 2022 годом!"
452,"Вот какие Слова, какой Смысл должен быть у первого лица, Первого среди Равных! С Новым годом, дорогая Екатерина Михайловна! С ещё большей настойчивостью будем Жить! Огромное спасибо! Это заряд на весь предстоящий год!"
453,Вот таким должно быть новогоднее обращение здорового человека! ️
454,"Прекрасные пожелания от прекрасной, умной и позитивной женщины!
Спасибо, что Вы есть с нами!
Всех Вам Благ!"
455,"Спасибо за Вашу Мудрость. И, за Вашу Смелость. - Это два великих качества , которых Вы любезно позволяете нам созерцать. Восхищаться и учиться.
Всех земных и неземных благ Вам.
С Новым Годом."
456,"С Новым годом Екатерина Михайловна.
Здоровья Вам  и всего наилучшего."
457,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо вам за вашу деятельность!"
458,"Екатерина, полностью согласна с Вашими словами. Нам всем необходимо проявлять настойчивость в каждодневных делах и развивать это качество, чтобы выжить. Без него невозможно достичь ничего по-настоящему ценного. Как гласит одна поговорка, «побеждающие никогда не пасуют, а пасующие никогда не побеждают». В изучении иностранного языка, в овладении ремеслом и даже в обретении дружбы - в том, что ценно для нас,— успех достигается только благодаря постоянным усилиям. «В девяти раз из десяти,— говорит писатель Чарлз Темплтон,— успех напрямую связан с одним - с усердным трудом». Журналист Леонард Питтс младший замечает: «Мы говорим о таланте, мы признаем удачу, но так часто мы не замечаем самые важные вещи: усердие, многочисленные неудачи и долгие часы работы до поздней ночи». Эти высказывания подтверждают давно сказанное в Библии: «...усердие- драгоценное сокровище»."
459,"На выборах бы смело отдал свой голос за вас, Екатерина Михайловна. Жду когда в правительстве будут исключительно профессионалы политического дела. Вы на правильном пути! С новым годом!!"
460,"Лучшее новогоднее поздравление за все 28 лет моей жизни, о котором давно уже мечталось, и каждое слово прямо в сердечко, огромное спасибо!!!"
461,"Вот это обращение, которое действительно приятно смотреть!"
462,"Здравствуйте, Екатерина Михайловна. Будете ли вы записывать обращение в этом году? Нам очень надо. Можете ли вы выложить его заранее? Теперь мы с друзьями живём в разных часовых поясах, но хотим слушать вас под куранты."
463,"Даже со снежинками  Уважаемая Екатерина Михайловна, с Новым годом вас.Будте счастливы и здоровы .Мы вас очень любим ."
464,Настоящее обращение умного талантливого неравнодушного человека к своим же гражданам! С новым годом!!!
465,"Новогодняя речь, которую мы заслужили!"
466,"С Новым годом, Екатерина Михайловна!!! Прекрасная, необыкновенная, обожаемая, спасибо Вам, берегите себя!"
467,"Наконец-то Екатерина Михайловна на своем месте 
Спасибо вам за все эфиры и видео в этом году️️️"
468,"Эх,    кто бы мог подумать..  Нет Войне!!!"
469,Комментарий в поддержку канала уважаемой Екатерины Михайловны! Спасибо за поздравление!
470,"Всех НАС с 22!!! Прорвёмся, выживем, удивим ! И наступающим 23!!!"
471,Как тонко и остроумно! Спасибо. Речь великолепно отражает современность! Очень талантливо!
472,"С Новым Годом, Екатерина Михайловна!!!! Спасибо Вам за то, что Вы у нас есть!!! Счастливого 2022 года!!!!"
473,"Екатерина Михайловна, спасибо Вам!!!! Благодаря Вам легче понять то, что происходит, в благодаря Вашему чувству юмора и переносить это легче.  С Новым годом Вас и Вашу замечательную семью! Будьте с нами в 22году и всегда!!!!"
474,"Спасибо, Екатерина Михайловна, за Вашу просветительскую деятельность! Какое счастье, что Вы есть!))"
475,"Просто ""бальзам на душу"" или ""живая вода""!
Спасибо за возможность услышать такое поздравление и напутствие! Екатерина и  команда, вы лучшие!!!"
476,Такое бы реальное поздравление в этом году...
477,"Желаю в новом году, чтобы родители по телевизору вот такие вот обращения смотрели!"
478,"Спасибо Екатерине Михайловне за просветительскую работу! Для меня всегда большое удовольствие слушать вас, успехов в новом году."
479,"Спасибо Вам, дорогая и любимая Екатерина Михайловна за то, что Вы делаете - обучаете и даёте надежду! Настоящая Екатерина Великая!"
480,"Большое вам спасибо, Екатерина Михайловна. И за слова, и за посыл и за все, что вы делаете!"
481,"Спасибо, Екатерина Михайловна!!! В Новом году ждем новых выступлений!!! Здоровья, счастья, мира!!!"
482,Спасибо за вашу работу. С праздником вас. Вы -луч света в темном царстве.
483,"Смотрела в 23:56, чтобы ровненько было) Не хватило в конце более продолжительных курантов, а в остальном спасибо огромное! Очень очень люблю!! Всевозможных благ вам, Екатерина Михайловна!"
484,"Живу за границей. У нас традиция: поднять бокал по московскому времени, под куранты. Жаль, что не сделали это под вашу речь. Что называется:  I wish I were :) Я программист. Ваша речь была как идеальная программа :) Краткая, но емкая, и такая понятная. Спасибо и с Новым годом."
485,Всем здоровья и терпения! Все будет хорошо!!!!
486,"Нету поздравленья лучше, чем Екатерины Шульман!!!!"
487,"С Новым годом, Екатерина Михайловна! Всех Вам благ!"
488,"Екатерина Михайловна, спасибо вам за труд и за все, что вы делаете, вместе мы сила, с Новым годом!! "
489,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо за Вашу деятельность, всего наилучшего!"
490,Всех добрых людей с наступившим новым годом! Здоровья и благополучия!
491,"Хочу, чтобы это поздравление вся страна смотрела по федеральным каналам!"
492,"Екатерина Михайловна, спасибо Вам за активную просветительскую работу в этом году и за объединение гражданского общества! С огромным уважением к Вам! Здоровья Вам и семье!!! С наступающим 2022!"
493,"Приятно слышать и слушать!Спасибо от чистого сердца,все просто и искренне .
С Новым Годом ,народ!!!!!"
494,"Екатерина Михайловна. Надеюсь увидеть Ваше новогоднее поздравление с экранов наших телевизоров. Можно даже в ""пальте"""
495,"Новогоднее обращение здорового человека. Спасибо, Екатерина Михайловна."
496,"Спасибо большое, Екатрина Михайловна! По Перми ваше обращение вышло за 5 минут до Нового года, поэтому смотрели вас вместо сами знаете кого. Вы вдохновили и привнесли бодрость духа в момент, ""когда куранты бьют""! И вообще, для меня весь этот год прошел в вашей теплой виртуальной компании, и я вам безмерно благодарна за знания и за заразательную perseverance!"
497,"Вы молодец, умница. Вам здоровья, счастья и исполнения всех ваших заветных желаний. И вашей семье тоже. Я и моя семья, а нас больше 20 человек, солидарны с вами  во всем"
498,"Выпью за то, чтобы в ближайшем будущем, Екатерина Михайловна поздравляла нас с Новым годом по телевизору."
499,"Спасибо огромное за то, что Вы у нас есть!"
500,"Поздравление, которое мы заслужили"
501,Новогоднее обращение здорового человека
502,"Потрясающе. Благодарю, Екатерина Михайловна. Я от своих дел и целей не отступлю."
503,"Спасибо, Екатерина Михайловна! Вы - мой Президент! С Новым годом!"
504,"Спасибо за то, что Вы с нами! С наступающим!"
505,Теперь у меня есть кого слушать под бой курантов в новогоднюю ночь из уст моей любимой Екатерины Шульман. 
506,"Как всегда, именно те слова, которые хочется услышать и те, что нужно услышать. Спасибо, Екатерина Михайловна!"
507,"Лучшее, что можно посмотреть на новый год!
Спасибо огромное."
508,Прекрасная речь. То что я хотел бы слышать в новогоднюю ночь!
509,"Екатерина Михайлосва, одно наслаждение Вас слушать и видеть! Здоровья и благополучия Вам и Вашим близким!"
510,"Спасибо за вашу просветительскую работу! Спасибо ютюбу, что даёт возможность увидеть и услышать, что говорят специалисты и одновременно такие обаятельные, современные, взрослые, активные женщины. Побольше вам времени в сутках!"
511,"Екатерина  Михайловна , огромное  спасибо ! Как  приятно  Вас  слушать  и  смотреть  на  Вас !  С  Новым  годом !!!"
512,"Спасибо! Было бы здорово,  если бы это было новогоднее обращение президента)))"
513,"Прекрасная, Упорная, Настойчивая, Екатерина Михайловна! С новым годом!!! С новым счастьем!!! Спасибо за Ваш просветительский, подвижнический труд! Больших Вам успехов!"
514,"Спасибо! Вы потрясающая! Уважение уму и знаниям, жизненной позиции. С Новым годом!"
515,Аж муражки по коже! Достойное обращение к нации!
516,"И Вас с наступающим. Спасибо Вам. И спасибо МШ, что соблазнил вас прелестями Ютюбе. "
517,Целеустремленность ! Доброго здоровья всем людям доброй воли! За процветание каждой семьи в активно развивающейся стране!!! С Новым 2022 годом и Рождеством!!!
518,"С Новым годом, Екатерина! Обращение президента не смотрела, а Ваше - с удовольствием посмотрела. Всегда слушаю передачи с Вашим участием."
519,"Загадал, чтобы это обращение показывали каждый новый год по федеральным каналам "
520,Супер женщина - дающая надежду на будущее! Екатерина Михайловна с новым годом !!!
521,Спасибо! То что нужно и то что хотелось услышать в Новогоднюю ночь!
522,"Новогоднее обращение здорового человека! То, что я готова слушать с превеликим удовольствием и вниманием! Спасибо, Екатерина Михайловна за Ваши труды!"
523,"Екатерина Михайловна , с Новым Годом Вас , любви и здоровья Вам и Вашим близким ."
524,"Урааа! Как же я ждала новогоднее обращение ""здорового человека""! Спасибо, Екатерина!"
525,"Спасибо! У Екатерины даже новогоднее обращение получилось просветительское.
Мне еще от Христо Грозева очень обращение понравилось, там очень классно сформулированы желания и мечты, которые как раз и нужно озвучивать в Новый год, если вы верите в силу этой традиции."
526,"Вся речь невероятно понятна, умна и одновременно очень двусмысленно! Кто понял между строк-знает, что имеется в виду ! Умнейшая женщина! Вот такие должны находится в руководстве страной!"
527,Поздравление президентки в этом году особенно приятно видеть
528,"""Не отступайте""! Отлично сказано ️"
529,"С  Новым Годом, Екатерина! Спасибо вам за позицию и смелость. Здоровья и успехов в вашей деятельности. И побольше активных соратников."
530,"И снова 20-е.... 
Спасибо, Екатерина Михайловна. С новым годом! Всех благ земных и творческих успехов!"
531,Новогоднее поздравление здорового человека! Ура! С Новым годом!
532,"С новым годом, уважаемая Екатерина Михайловна!!!"
533,"Спасибо! Какой оптимизм ! Очень понравилось. И музыка отличная и слова, как песня.  Так будем же делать, что должно, и да будет нам Счастье !"
534,"Единственное новогоднее обращение к гражданам, которое я ждала и буду смотреть! "
535,"Дорогая ЕМ, всего самого доброго Вам и Вашим близким, позитива, здоровья и радости в Новом  году!!"
536,"Лучшее новогоднее поздравление ever!! Спасибо, Екатерина Михайловна! Всего Вам и Вашей семье самого-самого лучшего! Прекрасные слова, мудрые, честные и невероятно полезные! Спасибо! Лучшего пожелания быть не может."
537,Мы-НЕ  ОТСТУПИМ!!!Спасибо за веру и надежду!!!
538,"О Господи... Будут звучать, как 1918 или 1941  да она ведьма (в хорошем смысле) ️️ как в воду глядела. Смотрю 30.12.2022 и от первой же минуты просто мороз по коже"
539,"Екатерина Михайловна, большое спасибо! Это лучшее обращение"
540,Чудесное поздравление чудесные слова спасибо Вам!
541,"Это самые важные слова, прямо до мурашек. Для меня это самое мотивирующее и обучающие поздравление. Огромная благодарность за ваш труд и просвещение!"
542,"С Новым годом! Екатерина Михайловна! Спасибо за такие нужные и важные слова! Очень хочется, чтобы как можно больше людей услышали их! Чтобы у нас появился шанс изменить ситуацию к лучшему, пусть и не всем это придётся по вкусу."
543,"Екатерина Михайловна! С Новым годом вас! Спасибо, что вы есть!"
544,С Новым Годом ВАС Екатерина и всех ваших подписчиков!
545,"Благодарю! Спасибо Вам, за Вашу деятельность и само существование. Будьте здоровы и счастливы!

Всем удачи и счастья в Новом Году.️️"
546,"За 10 минут до наступления Нового года люди должны слышать именно такие слова. Очень человечные, простые, и, при этом, имеющие потрясающий заряд, способность достучаться до сердец. С новым годом вас, со-Граждане. И спасибо каждому за плечо"
547,Одно из лучших поздравление в НГ! Спасибо Екатерина Михайловна!
548,"С Новым годом, дорогая Екатерина! Оставайтесь с нами и в этом, и в последующие годы! С вами мир становится светлее! Здоровья и счастья вам!!!"
549,"Здоровья Вам и вашей семье, спасибо, Екатерина Михайловна,всех с новым годом!!!"
550,"Браво Екатерина ! Спасибо - ,как говорил дед Щукарь - "" ажиотаж да и только !"" Жи- живи мол и радуйся !"
551,"Новогоднее обращение здорового человека!)
Екатерина Михайловна, всех благ вам в новом году!"
552,"Ура! Спасибо, Екатерина Михайловна!"
553,"Вот какой президент должен быть в стране. Драгоценная Екатерина Михайловна, от души желаю здоровья, успехов, любви"
554,"Спасибо большое, Екатерина Михайловна, за поздравления! Вас и Ваших близких с Новым годом! Пусть все загаданное сбудется и все будут здоровы, счастливы и успешны "
555,"Лучшее поздравление за многие года! Пускай просмотрела я это утром 1го января 2022, но становится тепло на душе от приятных слов, подготовленной и образованный речи!"
556,"Огромное спасибо, Екатерина Михайловна! Всех нам всем благ!!!"
557,"Екатерина Михайловна, поздравляю Вас с Новым Годом! Желаю здоровья, счастья, любви!!!"
558,"Спасибо Вам и Вашей команде за Ваш труд, знания, смелость и настойчивость, за настоящий патриотизм! Здоровья Вам, счастья и успехов во всем!"
559,"Спасибо Вам, Екатерина. Дай Аллах (Господь) Всевышний нам всем стойкости в добрых делах."
560,"Спасибо Вам. Спасибо за ваш труд. Нам всем мира, согласия, терпения и удачи!"
561,"Екатерина, спасибо за важные слова! В канун 2022 две речи тронули душу - Ваша и Светланы Тихановской)"
562,"Не отступаем, никогда не сдаёмся!!!
Спасибо! С Новым Годом!!!"
563,"С Новым годом, Екатерина Михайловна
Всего самого хорошего!!!"
564,"Как приятно видеть Екатерину Михаиловну в новогоднюю ночь! Счастья, здоровья и упорства, и удачи!"
565,"Жаль, что вчера вовремя не увидел это поздравление... Приятно посмотреть на умную, красивую женщину. Спасибо за хорошие слова."
566,Какое отличное обращение! Спасибо Вам огромное! С Новым годом ️
567,Ура! Поздравление первого лица страны
568,"Какое приятное и вдохновляющее поздравление! Спасибо, Екатерина Михайловна)"
569,Любимый позитивчик! Спасибо. Улыбаюсь и слушаю очень внимательно всегда. Здоровья вам и вашим близким. Все будет хорошо. Обнимаю. Бабушка Оля.
570,Слушать поздравления от Екатерины одно удовольствие
571,Екатерина Михайловна-Вам успехов в новом году. Всегда приятно Вас видеть и слышать
572,"Это то самое обращение от человека, к словам которого я отношусь более чем трепетно. Спасибо за такой новогодний подарок, Екатерина Михайловна! С Новым Годом вас! Здоровья вам и вашим близким!"
573,"Срасибо за поздравление, вы вселяете надежду всем здравомыслящим людям!
 21 год прожили, продолжаем выживать дальше!"
574,"Спасибо большое, Екатерина Михайловна! И вас от всей души поздравляю с Новым годом!  желаю вам удачи, здоровья и новых достижений!!!"
575,"Екатерина Михайловна, спасибо за поздравление, за Вашу позицию в жизни, за ту ценную информацию, которой Вы делитесь с подписчиками, за Вашу работу на благо Отечества!!! Здоровья, удачи Вам и Вашим близким. Надеюсь, что замечательные встречи на ютубе с Вами продолжатся, и 22 год будет не хуже 21. С наступившим Новым годом"
576,"Спасибо, Екатерина Михайловна! С новым годом!"
577,"Спасибо за поздравление! Всём нам терпения! И сил делать, что можем!"
578,"Спасибо, Екатерина, за прекрасное поздравление! Пусть все Ваши пожелания исполнятся и институлизируются!!"
579,"Какое счастье, что у нас есть такой человек! Будем живы, значит!"
580,"Надеюсь, доживём до такого мудрого президента как Вы."
581,Великолепная! Умная! Восхитительная!
582,"С наступающим, друзья! Спасибо Екатерина Михайловне за этот год"
583,"Екатерина Михайловна, с Новым Годом, всех благ Вам и Вашей семье :)))) И спасибо за новогоднее поздравление"
584,"Прекрасные слова, прекрасная Екатерина! Смотрим и радуемся!"
585,"Екатерина М.Ш, так приятно, спасибо !"
586,Поздравление здорового человека. Рад был услышать вас!
587,"С Новым годом, Екатерина Михайловна! Спасибо вам за всё"
588,"Екатерина Михайловна, спасибо! Посмотрели с дочкой (8 лет) ваше поздравление. Дочка передаёт, что вы лучшая ! А я ее поддерживаю. :)"
589,Прекрасно!!!! Изумительно сказано!!! Спасибо!!!!!!!!!!!!
590,"С Новым Годом, дорогая Екатерина Михайловна, спасибо Вам за то, что своим примером вдохновляете заниматься собственным образованием
крепкого здоровья и счастья Вам и Вашим близким "
591,Спасибо вам!!)) жду вашей фамилии в списках на выборах президента 10 голосов есть!!
