,comment
116,"Спасибо, Екатерина Михайловна! Вы - мой Президент! С Новым годом!"
117,"Спасибо за то, что Вы с нами! С наступающим!"
118,Теперь у меня есть кого слушать под бой курантов в новогоднюю ночь из уст моей любимой Екатерины Шульман. 
119,"Как всегда, именно те слова, которые хочется услышать и те, что нужно услышать. Спасибо, Екатерина Михайловна!"
120,"Лучшее, что можно посмотреть на новый год!"
121,Прекрасная речь. То что я хотел бы слышать в новогоднюю ночь!
122,"Екатерина Михайлосва, одно наслаждение Вас слушать и видеть! Здоровья и благополучия Вам и Вашим близким!"
123,"Спасибо за вашу просветительскую работу! Спасибо ютюбу, что даёт возможность увидеть и услышать, что говорят специалисты и одновременно такие обаятельные, современные, взрослые, активные женщины. Побольше вам времени в сутках!"
124,"Екатерина  Михайловна , огромное  спасибо ! Как  приятно  Вас  слушать  и  смотреть  на  Вас !  С  Новым  годом !!!"
125,"Спасибо! Было бы здорово,  если бы это было новогоднее обращение президента)))"
126,"Прекрасная, Упорная, Настойчивая, Екатерина Михайловна! С новым годом!!! С новым счастьем!!! Спасибо за Ваш просветительский, подвижнический труд! Больших Вам успехов!"
127,"Спасибо! Вы потрясающая! Уважение уму и знаниям, жизненной позиции. С Новым годом!"
128,Аж муражки по коже! Достойное обращение к нации!
129,"И Вас с наступающим. Спасибо Вам. И спасибо МШ, что соблазнил вас прелестями Ютюбе. "
130,Целеустремленность ! Доброго здоровья всем людям доброй воли! За процветание каждой семьи в активно развивающейся стране!!! С Новым 2022 годом и Рождеством!!!
131,"С Новым годом, Екатерина! Обращение президента не смотрела, а Ваше - с удовольствием посмотрела. Всегда слушаю передачи с Вашим участием."
132,"Загадал, чтобы это обращение показывали каждый новый год по федеральным каналам "
133,Супер женщина - дающая надежду на будущее! Екатерина Михайловна с новым годом !!!
134,Спасибо! То что нужно и то что хотелось услышать в Новогоднюю ночь!
135,"Новогоднее обращение здорового человека! То, что я готова слушать с превеликим удовольствием и вниманием! Спасибо, Екатерина Михайловна за Ваши труды!"
136,"Екатерина Михайловна , с Новым Годом Вас , любви и здоровья Вам и Вашим близким ."
137,"Урааа! Как же я ждала новогоднее обращение ""здорового человека""! Спасибо, Екатерина!"
138,Спасибо! У Екатерины даже новогоднее обращение получилось просветительское.
139,"Вся речь невероятно понятна, умна и одновременно очень двусмысленно! Кто понял между строк-знает, что имеется в виду ! Умнейшая женщина! Вот такие должны находится в руководстве страной!"
140,Поздравление президентки в этом году особенно приятно видеть
141,"""Не отступайте""! Отлично сказано ️"
142,"С  Новым Годом, Екатерина! Спасибо вам за позицию и смелость. Здоровья и успехов в вашей деятельности. И побольше активных соратников."
143,И снова 20-е.... 
144,Новогоднее поздравление здорового человека! Ура! С Новым годом!
145,"С новым годом, уважаемая Екатерина Михайловна!!!"
146,"Спасибо! Какой оптимизм ! Очень понравилось. И музыка отличная и слова, как песня.  Так будем же делать, что должно, и да будет нам Счастье !"
147,"Единственное новогоднее обращение к гражданам, которое я ждала и буду смотреть! "
148,"Дорогая ЕМ, всего самого доброго Вам и Вашим близким, позитива, здоровья и радости в Новом  году!!"
149,"Лучшее новогоднее поздравление ever!! Спасибо, Екатерина Михайловна! Всего Вам и Вашей семье самого-самого лучшего! Прекрасные слова, мудрые, честные и невероятно полезные! Спасибо! Лучшего пожелания быть не может."
150,Мы-НЕ  ОТСТУПИМ!!!Спасибо за веру и надежду!!!
151,"О Господи... Будут звучать, как 1918 или 1941  да она ведьма (в хорошем смысле) ️️ как в воду глядела. Смотрю 30.12.2022 и от первой же минуты просто мороз по коже"
152,"Екатерина Михайловна, большое спасибо! Это лучшее обращение"
153,Чудесное поздравление чудесные слова спасибо Вам!
154,"Это самые важные слова, прямо до мурашек. Для меня это самое мотивирующее и обучающие поздравление. Огромная благодарность за ваш труд и просвещение!"
155,"С Новым годом! Екатерина Михайловна! Спасибо за такие нужные и важные слова! Очень хочется, чтобы как можно больше людей услышали их! Чтобы у нас появился шанс изменить ситуацию к лучшему, пусть и не всем это придётся по вкусу."
156,"Екатерина Михайловна! С Новым годом вас! Спасибо, что вы есть!"
157,С Новым Годом ВАС Екатерина и всех ваших подписчиков!
158,"Благодарю! Спасибо Вам, за Вашу деятельность и само существование. Будьте здоровы и счастливы!"
159,"За 10 минут до наступления Нового года люди должны слышать именно такие слова. Очень человечные, простые, и, при этом, имеющие потрясающий заряд, способность достучаться до сердец. С новым годом вас, со-Граждане. И спасибо каждому за плечо"
160,Одно из лучших поздравление в НГ! Спасибо Екатерина Михайловна!
161,"С Новым годом, дорогая Екатерина! Оставайтесь с нами и в этом, и в последующие годы! С вами мир становится светлее! Здоровья и счастья вам!!!"
162,"Здоровья Вам и вашей семье, спасибо, Екатерина Михайловна,всех с новым годом!!!"
163,"Браво Екатерина ! Спасибо - ,как говорил дед Щукарь - "" ажиотаж да и только !"" Жи- живи мол и радуйся !"
164,Новогоднее обращение здорового человека!)
165,"Ура! Спасибо, Екатерина Михайловна!"
166,"Вот какой президент должен быть в стране. Драгоценная Екатерина Михайловна, от души желаю здоровья, успехов, любви"
167,"Спасибо большое, Екатерина Михайловна, за поздравления! Вас и Ваших близких с Новым годом! Пусть все загаданное сбудется и все будут здоровы, счастливы и успешны "
168,"Лучшее поздравление за многие года! Пускай просмотрела я это утром 1го января 2022, но становится тепло на душе от приятных слов, подготовленной и образованный речи!"
169,"Огромное спасибо, Екатерина Михайловна! Всех нам всем благ!!!"
170,"Екатерина Михайловна, поздравляю Вас с Новым Годом! Желаю здоровья, счастья, любви!!!"
171,"Спасибо Вам и Вашей команде за Ваш труд, знания, смелость и настойчивость, за настоящий патриотизм! Здоровья Вам, счастья и успехов во всем!"
172,"Спасибо Вам, Екатерина. Дай Аллах (Господь) Всевышний нам всем стойкости в добрых делах."
173,"Спасибо Вам. Спасибо за ваш труд. Нам всем мира, согласия, терпения и удачи!"
174,"Екатерина, спасибо за важные слова! В канун 2022 две речи тронули душу - Ваша и Светланы Тихановской)"
175,"Не отступаем, никогда не сдаёмся!!!"
176,"С Новым годом, Екатерина Михайловна"
177,"Как приятно видеть Екатерину Михаиловну в новогоднюю ночь! Счастья, здоровья и упорства, и удачи!"
178,"Жаль, что вчера вовремя не увидел это поздравление... Приятно посмотреть на умную, красивую женщину. Спасибо за хорошие слова."
179,Какое отличное обращение! Спасибо Вам огромное! С Новым годом ️
180,Ура! Поздравление первого лица страны
181,"Какое приятное и вдохновляющее поздравление! Спасибо, Екатерина Михайловна)"
182,Любимый позитивчик! Спасибо. Улыбаюсь и слушаю очень внимательно всегда. Здоровья вам и вашим близким. Все будет хорошо. Обнимаю. Бабушка Оля.
183,Слушать поздравления от Екатерины одно удовольствие
184,Екатерина Михайловна-Вам успехов в новом году. Всегда приятно Вас видеть и слышать
185,"Это то самое обращение от человека, к словам которого я отношусь более чем трепетно. Спасибо за такой новогодний подарок, Екатерина Михайловна! С Новым Годом вас! Здоровья вам и вашим близким!"
186,"Срасибо за поздравление, вы вселяете надежду всем здравомыслящим людям!"
187,"Спасибо большое, Екатерина Михайловна! И вас от всей души поздравляю с Новым годом!  желаю вам удачи, здоровья и новых достижений!!!"
188,"Екатерина Михайловна, спасибо за поздравление, за Вашу позицию в жизни, за ту ценную информацию, которой Вы делитесь с подписчиками, за Вашу работу на благо Отечества!!! Здоровья, удачи Вам и Вашим близким. Надеюсь, что замечательные встречи на ютубе с Вами продолжатся, и 22 год будет не хуже 21. С наступившим Новым годом"
189,"Спасибо, Екатерина Михайловна! С новым годом!"
190,"Спасибо за поздравление! Всём нам терпения! И сил делать, что можем!"
191,"Спасибо, Екатерина, за прекрасное поздравление! Пусть все Ваши пожелания исполнятся и институлизируются!!"
192,"Какое счастье, что у нас есть такой человек! Будем живы, значит!"
193,"Надеюсь, доживём до такого мудрого президента как Вы."
194,Великолепная! Умная! Восхитительная!
195,"С наступающим, друзья! Спасибо Екатерина Михайловне за этот год"
196,"Екатерина Михайловна, с Новым Годом, всех благ Вам и Вашей семье :)))) И спасибо за новогоднее поздравление"
197,"Прекрасные слова, прекрасная Екатерина! Смотрим и радуемся!"
198,"Екатерина М.Ш, так приятно, спасибо !"
199,Поздравление здорового человека. Рад был услышать вас!
200,"С Новым годом, Екатерина Михайловна! Спасибо вам за всё"
201,"Екатерина Михайловна, спасибо! Посмотрели с дочкой (8 лет) ваше поздравление. Дочка передаёт, что вы лучшая ! А я ее поддерживаю. :)"
202,Прекрасно!!!! Изумительно сказано!!! Спасибо!!!!!!!!!!!!
203,"С Новым Годом, дорогая Екатерина Михайловна, спасибо Вам за то, что своим примером вдохновляете заниматься собственным образованием"
204,Спасибо вам!!)) жду вашей фамилии в списках на выборах президента 10 голосов есть!!
205,"Любимая и прекрасная Екатерина Михайловна, с Новым годом!!  Счастья, радости, солнца и любви!! И чудес))"
206,"Поздравление, которое мы заслужили. Спасибо! Будьте аккуратны!"
207,"Президентское обращение, которое мы пока не заслужили."
208,Спасибо! Очень мило... Удачи и здоровья Екатерине Михайловне!
209,"Екатерина , Вы прекрасны)) с Новым годом!!! Успехов вам и удачи в работе "
210,Какая ВЫ  приятная и очень справедливая!!!С новым годом!!!!
211,"Искренне делюсь Вашим поздравлением со всеми друзьями, добавляя цитаты. С Новым Годом!"
212,Лучшее Новогоднее поздравление! Благодарим!!! Да здравствует обновленный 2022!
213,"Екатерина Михайловна, спасибо за поздравление!"
214,"Уважаемая, Прекрасная Екатерина МихайловнаСпасибо что Вы есть."
215,Very inspiring. Thank you!
216,"Екатерина Михайловна, как хорошо, что вы у нас есть и мы можем послушать новогоднее обращение здорового человека! Всего вам самого хорошего, сил и настойчивости!"
217,Ну когда уже это будет обращение президента ? Спасибо ! С новым годом !!’
218,"Дорогая Екатерина Михайловна, желаю нашей стране, чтобы как можно скорее Ваши предновогодние обращения зазвучали по государственным каналам ТВ!"
219,НАДЕЮСЬ В СКОРЕЙШЕМ БУДУЩЕМ УВИДЕМ ВАС НА ВСЕХ ТЕЛЕВИЗОРАХ СТРАНЫ
220,Замечательная традиция! Спасибо!
221,"Спасибо, Екатерина Михайловна, мы вас любим и набираемся от вас ума!"
222,Спасибо большое за прекрасное поздравление и такие важные слова ️
223,Обращение президента здорового человека.
224,"Екатерина Михайловна, спасибо огромное! Вас так приятно слушать и смотреть ! С Праздником Друзья! С Новым 2022 годом!!"
225,"Ух, Екатерина, до чего ж вы круты! Я даже похвалить вас так не умею, как вы того заслуживаете. Ураааа!!!!"
226,"Екатерина Михайловна, с Новым Годом Вас! "
227,"С Новым годом! Жаль, увидела это поздравление только 1 января уже, но всё равно посмотреть любо дорого."
228,"Екатерина Михайловна! С наступившим Вас, это обращение лучше и в миллионы раз более вдохновляющее чем то, которые крутят по телевизору "
