,comment,text_clear,negative_proba
36,Прикольное место можно сходить по фоткаться посидеть,прикольное место сходить фоткаться посидеть,0.24368102034100103
37,"Я оказалась в полном восторге! Как для туриста — место очень интересное, есть несколько кафешек, много локаций, чтобы сделать классные фото. Особенно понравился флористический магазин, расположенный на территории культурно центра.",оказалась полном восторге туриста место очень интересное несколько кафешек локаций сделать классные фото особенно понравился флористический магазин расположенный территории культурно центра,0.1589178927102477
38,"Интересное современное место. Атмосферные заведения, внутренний дворик, шикарный вид с крыши.",интересное современное место атмосферные заведения внутренний дворик шикарный вид крыши,0.10443895412389936
39,Классное тусовочное  место,классное тусовочное место,0.09285025214620002
40,Интересное место,интересное место,0.1634039661345822
41,"Атмосферное тусовочное место в Самаре, огромное количество знакомых людей. Весело, можно заходить из бара в бар, пить, танцевать, общаться. Достаточно громко, но так и должно быть.",атмосферное тусовочное место самаре огромное количество знакомых людей весело заходить бара бар пить танцевать общаться достаточно громко должно,0.1890970203167357
42,Обожаю это место 😍почти каждый выходной там отдыхаю 🍾,обожаю это место каждый выходной отдыхаю,0.0974277190981957
43,"Приятное самарское арт пространство , прекрасно и весело и красиво для летних вечеров. Можно найти заведение , кухню , и прочее по душе .",приятное самарское арт пространство прекрасно весело красиво летних вечеров найти заведение кухню прочее душе,0.04990121266345482
44,"Яркое, модное место для посиделок с друзьями, фотосессий и просто провести время!",яркое модное место посиделок друзьями фотосессий просто провести время,0.1917751677383045
45,"Интересное место, интересная концепция в стиле лофт. Из минусов нет парковки, заблокирован выход на смотровую площадку, которая могла бы быть якорем для посетителей.",интересное место интересная концепция стиле лофт минусов парковки заблокирован выход смотровую площадку которая могла якорем посетителей,0.1678295608580226
46,"Отличное движовое место 🔥 ходим сюда только в рестораны или бары, всё очень нравится! Вечером с пятницы по воскресенье тут очень Крутая атмосфера! Не были еще на крыше, но скоро исправим это))",отличное движовое место ходим сюда рестораны бары всё очень нравится вечером пятницы воскресенье очень крутая атмосфера крыше скоро исправим это,0.11118105476588935
47,"Очень приятное место в Самаре, с классными магазинами и общей концепцией.",очень приятное место самаре классными магазинами общей концепцией,0.39850437666355953
48,Смотровые площадки просто  великолепные. Виды завораживающие.,смотровые площадки просто великолепные виды завораживающие,0.2269055691991706
49,Атмосферное место! А вид с крыши - это надо видеть!,атмосферное место вид крыши это видеть,0.16212958793107834
50,Обалденное место,обалденное место,0.2784348029047191
51,Хорошее место. Интересные бары. Однозначно стоит туда сходить в каждое заведение. Ну а потом пойдут танцы) ,хорошее место интересные бары однозначно стоит туда сходить каждое заведение пойдут танцы,0.15382826354408197
52,"Много баров и различных других творческих организаций на территории Станкозавода. Любимый салон красоты Beautytyaka и библиотека материалов для дизайнеров. Монобар Проходная с вкуснейшими настойками, где играют диджеи в том числе и я dj Panda🐼.",баров различных других творческих организаций территории станкозавода любимый салон красоты библиотека материалов дизайнеров монобар проходная вкуснейшими настойками играют диджеи числе,0.38610693643354654
53,Отличный творческий кластер в центре города. Все что душе угодно под одной крышей!,отличный творческий кластер центре города душе угодно одной крышей,0.1475524126458625
54,по-настоящему оценить атмосферу этого места можно в 4 утра - перед рассветом здесь особый самарский дух и свежий ветер с Волги под приятную музыку,настоящему оценить атмосферу места утра рассветом особый самарский дух свежий ветер волги приятную музыку,0.2875204507961435
55,Атмосферное место для отдыха и проведения фотосессий,атмосферное место отдыха проведения фотосессий,0.325147230628252
56,"Круто, что в Самаре появляется все больше пространств, где можно и повеселиться, и поесть, и поработать. Ну, ещё и красиво сфотографироваться, почему бы и не да) Люблю Станкозавод за яркость. Здесь в любое время хорошо! А летом ещё можно классно посидеть на любой веранде и застать свет ночных фонариков. Нравится, что находится в центре. Отсюда легко уехать в любом направлении как на транспорте, так и на машине. Правда, местечко для парковки придётся поискать, особенно в выходные дни. Сюда нужно ехать, чтобы почувствовать этот неспешный самарский ритм и просто выдохнуть от суетливых улиц города.",круто самаре появляется пространств повеселиться поесть поработать ещё красиво сфотографироваться почему люблю станкозавод яркость любое время летом ещё классно посидеть любой веранде застать свет ночных фонариков нравится находится центре отсюда легко уехать любом направлении транспорте машине правда местечко парковки придётся поискать особенно выходные дни сюда нужно ехать почувствовать неспешный самарский ритм просто выдохнуть суетливых улиц города,0.08754891059622893
57,"Вкусил все преимущества ВМ, и превзошел",вкусил преимущества вм превзошел,0.40039517985133677
58,Проводил одну из секций Архнаследия 2023. Место очень продуманное и отлично ревитализированное. Во внутреннем дворе отличные ресторанчики на любой вкус. Рекомендую,проводил одну секций архнаследия место очень продуманное отлично ревитализированное внутреннем дворе отличные ресторанчики любой вкус рекомендую,0.052042364295194043
59,Улет,улет,0.4609930674954531
60,"Отличное атмосферное место! Сюда можно ходить хоть каждый день, будет интересно. Вкусная еда и прекрасные закаты на крыше. Понравились галереи, магазинчик, кафе, уютно.",отличное атмосферное место сюда ходить каждый день интересно вкусная еда прекрасные закаты крыше понравились галереи магазинчик кафе уютно,0.09585942931879587
61,"Прекрасное пространство, для каждого подойдет",прекрасное пространство каждого подойдет,0.05943886982777635
62,"Крутая крыша и не менее крутой открывающийся с нее вид! На территории несколько баров, людно в выходные. В целом - хорошее место для трипа по барам",крутая крыша менее крутой открывающийся вид территории несколько баров людно выходные целом хорошее место трипа барам,0.03851314720859622
63,Классная локация все бары все круто молодцы,классная локация бары круто молодцы,0.05969520308167087
64,Зозо- рекомендую!!!!,зозо рекомендую,0.10386504158173404
65,"Туса, туса, практически Питер.",туса туса практически питер,0.366823949887497
66,"Интересное место. Небольшие и уютные кафе. Еще поднималась по лестнице на третий этаж для обзора города, хороший вид на город и Волгу.",интересное место небольшие уютные кафе поднималась лестнице третий этаж обзора города хороший вид город волгу,0.16220177738956165
67,"Отличное место, очень ярко,стильно,при этом строения с историей) и парфюмбар тут,и варка,и морепоколено...все вместе, отличные кафешки и локации
",отличное место очень ярко стильно строения историей парфюмбар варка морепоколено вместе отличные кафешки локации,0.1347523359498235
68,Хорошее пространство с массой интересных заведений с едой и танцами.,хорошее пространство массой интересных заведений едой танцами,0.3114104582909718
69,"Отличное место! Хороша и локация, и возможность перекусить, и насладиться потрясающим видом на Струковский сад и Волгу. Вообще, атмосферное место! Дороговатый вход на крышу, если учесть, что поесть там практически нечем: перекус и напитки  не дешёвые и ассортимент минималисткий. Возможно, мы были в неудачное время. Надеюсь, со временем на территории Станкозавода откроются кофейни, бистро на разный вкус и кошелёк. Тогда цены этому общественному пространству не будет.",отличное место хороша локация возможность перекусить насладиться потрясающим видом струковский сад волгу вообще атмосферное место дороговатый вход крышу учесть поесть практически нечем перекус напитки дешёвые ассортимент минималисткий возможно неудачное время надеюсь временем территории станкозавода откроются кофейни бистро разный вкус кошелёк цены этому общественному пространству,0.14500566260936498
70,Любопытное место ✅,любопытное место,0.23954528647980933
71,Всё хорошо продумано и сделано. Мне понравилось.,всё продумано сделано понравилось,0.2797455551365259
72,"Небольшое место , собрано много творчества",небольшое место собрано творчества,0.2203347148327901
73,"Так я и не поняла для чего этот станкозавод, но стильно, интересно",поняла станкозавод стильно интересно,0.1201069578130779
74,"был тут в баре, неплохо",баре неплохо,0.14389319964138614
75,Красивое место),красивое место,0.18254938779708463
76,"Красивое арт пространство, стильно, промышленные архитектурные решения в яркой раскраске, магазинчики и кафе, особенно любим парфюмбар) наверняка есть много интересного, место ещё развивается. Рядом набережная и Струковский сад, много достопримечательностей рядом, Костёл например, красивое здание) ",красивое арт пространство стильно промышленные архитектурные решения яркой раскраске магазинчики кафе особенно любим парфюмбар наверняка интересного место ещё развивается рядом набережная струковский сад достопримечательностей рядом костёл например красивое здание,0.12154008826427065
77,Современное пространство в центре города,современное пространство центре города,0.23766666490412414
78,"Интересное место , очень даже 
Диджеи , музыка , можно попить кофе и даже более , шоппинг , вид с верхней палубы так скажем , тоже 
Надеюсь верхний этаж скоро будет открыт полностью",интересное место очень диджеи музыка попить кофе шоппинг вид верхней палубы скажем надеюсь верхний этаж скоро открыт полностью,0.0940387345750412
79,Приятное место в центре города. С разнообразными заведениям на любой вкус.,приятное место центре города разнообразными заведениям любой вкус,0.07463574988771193
80,"Интересное, атмосферное место. В кафе очень вкусная пицца.",интересное атмосферное место кафе очень вкусная пицца,0.15705879862826255
81,"Много интересного . Магазинчики , кафе. Скоро откроется крыша .",интересного магазинчики кафе скоро откроется крыша,0.4609930674954531
82,Очень Стильно...,очень стильно,0.25739539416810153
83,"Посетила выставку Нади Ковбы 8 комнат. Очень необычно! Впечатлений масса. Рекомендую к посещению. Формат центра - креативный, стильный. Стоит посмотреть.",посетила выставку нади ковбы комнат очень необычно впечатлений масса рекомендую посещению формат центра креативный стильный стоит посмотреть,0.13856018841233797
84,"Приходите люди на Станкозавод. Это совершенно новая и свежая коллаборация пространств искусства, торговли, общепита! И как у каждого завода у Станкозавода имеется собственная проходная - Моно Бар Проходная! Не важно ищете ли Вы лабораторию материалов двигаясь на деловую встречу с дизайнером или идете на встречу с девушкой/парнем в ЗОЗО или может вы пришли на рэйв в Куйбышев или на дискотеку в Волжайне… заходите отметится на входе на заводскую Проходную. Да и на выходе тоже.  Здесь имеется Букварь настоек. И Ваше имя могут собрать по буквам из настоек разных вкусов, даже если Вас зовут Абдурахмангаджи!",приходите люди станкозавод это совершенно новая свежая коллаборация пространств искусства торговли общепита каждого завода станкозавода имеется собственная проходная моно бар проходная важно ищете лабораторию материалов двигаясь деловую встречу дизайнером идете встречу девушкой парнем зозо пришли рэйв куйбышев дискотеку волжайне заходите отметится входе заводскую проходную выходе имеется букварь настоек ваше имя могут собрать буквам настоек разных вкусов зовут абдурахмангаджи,0.14702726245475894
85,Хорошее новое арт пространство!,хорошее новое арт пространство,0.07923750016354114
86,Много интересных пространств,интересных пространств,0.4609930674954531
87,Супер пространство. Спасибо авторам. ,супер пространство спасибо авторам,0.06875902549812207
88,"Атмосферное место! Рекомендую к помещению!
",атмосферное место рекомендую помещению,0.08480877891043315
89,Очень крутое место!,очень крутое место,0.2869601382820801
90,"Свежее молодежное пространство, на территории которой расположено множество магазинчиков различных направлений",свежее молодежное пространство территории которой расположено множество магазинчиков различных направлений,0.40606544643585807
91,"Очень атмосферное место, для фоточек, каких-то необычных покупок или для покушать.",очень атмосферное место фоточек каких необычных покупок покушать,0.27600950156529314
92,"Классное место в Самаре. Очень стоит зайти гуляя по старой части города, или поднимаясь с набережной. 

Здесь можно найти кафе на любой запрос, подняться на смотровую площадку, наделать мильён фотографий",классное место самаре очень стоит зайти гуляя старой части города поднимаясь набережной найти кафе любой запрос подняться смотровую площадку наделать мильён фотографий,0.24504543461687323
93,"Очень крутое и атмосферное место , зарядится можно по полной ✨ здесь всё абсолютно разное , всё разностороннее 👏🏼🔥 придти сюда нужно обязательно",очень крутое атмосферное место зарядится полной всё абсолютно разное всё разностороннее придти сюда нужно обязательно,0.14543617437698508
94,"Креативное пространство в стенах которого вы можете: одеться, наколоть татуировку, поесть и выпить кофе. Так же много шоурумов и студий с талантливыми людьми которые ждут вас в гости.
",креативное пространство стенах которого можете одеться наколоть татуировку поесть выпить кофе шоурумов студий талантливыми людьми которые ждут гости,0.28099281170172175
95,Очень хороший проект,очень хороший проект,0.2638064981689484
96,"Отличное и интересное место! Выставки, ярмарки, интересные мероприятия  и мастерклассы для детей и взрослых.  Очень рекомендую посетить!!!",отличное интересное место выставки ярмарки интересные мероприятия мастерклассы детей взрослых очень рекомендую посетить,0.09797236728506964
97,"Перспективное место, отличная задумка!",перспективное место отличная задумка,0.23303111635762142
98,"Кусочек Питера в Самаре. Бистро, лампочки, романтика, Маркеты, зоны для мастер классов. Здорово же! Классное место для фото 😊",кусочек питера самаре бистро лампочки романтика маркеты зоны мастер классов здорово классное место фото,0.07569580336665849
99,Очень классное и атмосферное место!!,очень классное атмосферное место,0.12551076700956776
100,Мероприятия достойного уровня.,мероприятия достойного уровня,0.36987692336404476
101,"Очень понравилось, пойду туда ещё.",очень понравилось пойду туда ещё,0.428800042853388
102,"Прекрасный проект, жена ходит на какие-то мероприятия, мне есть где поработать с ноутом за чашкой кофе. В выходные были, полное разнообразие от шумных вечеринок до Крафтовых посиделок под легкий джаз",прекрасный проект жена ходит какие мероприятия поработать ноутом чашкой кофе выходные полное разнообразие шумных вечеринок крафтовых посиделок легкий джаз,0.16364694596736706
103,Зимой не интересно))) посмотрим что будет летом,зимой интересно посмотрим летом,0.05792652560450651
104,Шикарные ,шикарные,0.4609930674954531
105,"Не понятно.  Подождём когда кластер разовьётся 
Пока не понятно. ",понятно подождём кластер разовьётся пока понятно,0.2533572727936333
106,Одна из лучших локаций нашего города 🤩,одна лучших локаций нашего города,0.3551414069422931
107,"Интересное место в Самаре, ещё конечно обустраевается. Заезжают новые резиденты. Самое важное, что сейчас в этом месте расположена выставка 8 комнат Нади Ковба всем рекомендую сходить. 8 комнат не оставят равнодушным ни кого, это шедевр!!!!!!",интересное место самаре ещё обустраевается заезжают новые резиденты самое важное месте расположена выставка комнат нади ковба всем рекомендую сходить комнат оставят равнодушным кого это шедевр,0.15189620206258636
